,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11
phi_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_2,0.59648174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_3,0.0,0.0,0.6951613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_4,0.0,0.5772548,0.5294139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_5,0.0,0.0,0.41857332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_6,0.39231804,0.0,0.0,0.0,0.36001858,0.41528288,0.0,0.0,0.0,0.0,0.0,0.0
phi_7,0.0,0.0,0.6430228,0.45372322,0.0,0.36980134,0.0,0.0,0.0,0.0,0.0,0.0
phi_8,0.0,0.0,0.0,0.4320067,0.6408959,0.49546534,0.0,0.0,0.0,0.0,0.0,0.0
phi_9,0.0,0.6892204,0.23878919,0.5565394,0.5773172,0.6676274,0.0,0.29587886,0.0,0.0,0.0,0.0
phi_10,0.0,0.0,0.44933453,0.0,0.0,0.0,0.0,0.26825553,0.36594847,0.33601967,0.0,0.0
phi_11,0.0,0.0,0.69042903,0.6497976,0.34633428,0.3061771,0.0,0.0,0.39964733,0.0,0.5415488,0.0
